ID,In VCF?,Li,Na,Mg,P,S,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd
TYNE_C_3,n,0.002785342,7.394167236,18.4333598,6.266433735,24.27456605,22.36186957,458.9140256,21.62722705,166.7518975,0.098734819,1.354762093,3.986687067,334.8622264,0.464904651,0.27643339,0.396920029,1.071886733,0.009691187,1.848395211
TYNE-A_1,n,0.006086138,10.17464724,31.23851411,16.06373346,19.88756388,62.5549472,447.4660161,38.9123722,152.8021209,0.181521414,1.183572775,2.912068834,353.487696,0.648608639,0.339804959,0.204442376,2.044437427,0.009096561,1.489465557
TYNE-A_2,n,0.004310874,11.44325179,36.4141357,13.34578223,39.03987111,70.96724968,559.7017771,39.44540114,158.7481643,0.186736471,1.186324415,2.856661101,196.859734,0.45948837,0.420930054,0.220739363,2.426481399,0.008722542,1.096913425
TYNE-A_3,n,0.003819803,10.63081038,34.88770386,18.80326048,23.68691884,71.80442167,469.5287942,47.75205632,179.5883668,0.227805353,1.353648813,3.246011444,373.1280972,0.689274197,0.460864012,0.225441719,1.326795567,0.010344064,1.641195772
UI/AFO_1,n,0.091369664,866.1158367,1157.815128,130.8057456,593.4691708,393.2043384,933.9153827,97.72389773,311.653149,0.147761478,1.196543173,17.16846072,42.89470839,0.758284706,0.761776022,0.417679001,7.960106218,0.121342272,0.129074122
UI/AFO_2a,n,0.100838667,945.2011255,1251.430242,91.68578674,513.3267184,426.7886989,969.8825843,96.87149272,319.9195753,0.144691325,1.166748272,19.85712989,25.85717372,0.501865898,0.789187947,0.440569341,8.133962071,0.122025565,0.088977254
UI/AFO_2b,n,0.086591242,826.05291,1176.0272,120.4816697,569.4410915,384.1399234,912.6671448,90.24755381,293.9031952,0.134680708,1.147670548,19.70535484,39.950593,0.72831016,0.789151248,0.418820571,7.647405708,0.113990844,0.11879723
UIG_1,y,0.022591518,426.2382181,513.650029,94.70740381,215.4213914,354.7411468,611.3878737,64.7100254,360.7967744,0.677168455,2.328758392,26.65070123,89.55746103,0.364743207,0.216886453,0.219871801,6.986306038,0.108446482,0.125366502
UIG_2,y,0.023039034,326.5772396,480.9149166,43.7321274,128.6057767,338.5024846,619.6029919,47.96716133,261.8369555,0.435812921,1.390547955,27.15396038,55.22566868,0.215260971,0.323633339,0.233849705,4.152722281,0.081846209,0.073650697
UIG_2b,n,0.021174793,240.4404955,463.7936165,58.24723091,133.5884045,316.0850426,559.8985964,46.25189534,250.7785931,0.433349972,1.378832902,28.00798468,81.95761033,0.253538533,0.372912398,0.235170988,4.049642174,0.080559587,0.096107109
UIG_3,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_4,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_5,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_6,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_7,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_8,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_9,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
UIG_10,Avg,0.022268448,331.0853177,486.1195207,65.56225404,159.2051909,336.4428913,596.963154,52.97636069,291.137441,0.515443783,1.69937975,27.2708821,75.58024668,0.27784757,0.304477397,0.229630831,5.062890164,0.090284093,0.098374769
VAG.5*_1,n,0.028158805,2279.104688,407.1083779,69.14246371,202.1235119,166.233971,672.2888408,5.240077937,36.53845407,0.051500895,0.248960129,0.917569546,12.14402286,0.552675986,0.089401561,0.014809402,7.032724128,0.029515282,0.046310311
VAG.5*_2,n,0.030367746,2285.246515,407.6319109,56.02173837,182.268746,163.4436851,645.6131297,5.276028382,35.53030536,0.05279135,0.250098514,0.896211708,8.545807014,0.406404744,0.090211331,0.015529529,7.246438107,0.032355069,0.038061636
